제품명,이미지 링크,가격(원),에너지 소비효율 등급,소비전력(W),화면사이즈(cm),해상도,디스플레이 종류,주사율(Hz),운영체제,스피커 출력(W),스탠드 제외 크기(mm),스탠드 제외 무게(kg),제품 사용 설명서
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10219833/gallery/medium-interior01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,677 x 965 x 30.9",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=M0KfJVWJIWEk8SY8SC4ZQ
LG 울트라 HD TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10219834/gallery/medium-interior01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,677 x 965 x 30.9",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=M0KfJVWJIWEk8SY8SC4ZQ
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10366861/gallery/medium-interior01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 23,20W,"1,677 x 965 x 30.9",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=jFyzkdugNJrON50A3b5bw
LG 울트라 HD TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10497845/gallery/medium01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,678 x 964 x 59.9",31.4,
LG 울트라 HD TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10610872/gallery/medium01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,678 x 964 x 59.9",31.4,https://gscs-b2c.lge.com/open/downloadFile?fileId=jsEPJeDnZECfS873GyIcIw
LG 울트라 HD TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10497831/gallery/medium01.jpg,"4,289,000원",1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,677 x 965 x 30.9",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=tEuNA8SHPzJ80seZ08Pg
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10530833/gallery/medium-interior01.jpg,,1등급,0.5W↓,189 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,677 x 965 x 30.9",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=LiFmAJqluflm22D0hmwYDQ
LG NANO 4K UHD AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10799847/gallery/medium-interior01.jpg,"3,890,000원",1등급,0.5W↓,214 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 26,20W,"1,890 x 1,088 x 72.4",29.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=UNAlUJ2rj565YqESj72w
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10794832/gallery/medium-interior01.jpg,"4,290,000원",1등급,0.5W↓,214 cm,"4K UHD (3,840 x 2,160)",mini LED,60Hz,webOS 26,20W,"1,889 x 1,087 x 67.0",27.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZWIIlmHr0PDMSmPcGvaZCw
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10654833/gallery/medium-interior01.jpg,,1등급,0.5W↓,214 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,40W,"1,890 x 1,081 x 59.9",34,https://gscs-b2c.lge.com/open/downloadFile?fileId=R1kY7q7FfYXjGem82uXIg
LG Micro RGB evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10796841/gallery/medium-interior01.jpg,"10,450,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",Micro RGB,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,925 x 1,105 x 46.1",56.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=DMcwPaBPrRLA9Udy1RedA
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543870/gallery/medium-interior01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=P2kD5C0GMTOhMGJa0247Sg
LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573845/gallery/medium-interior01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
LG 나노셀 AI (스탠드형)+ LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661849/gallery/medium01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
LG 나노셀 AI (스탠드형)+ LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661848/gallery/medium01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
LG 나노셀 AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661847/gallery/medium01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10560830/gallery/medium-interior01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
LG QNED AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661832/gallery/medium01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
LG QNED AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661831/gallery/medium01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
LG QNED AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661830/gallery/medium01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
LG QNED TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10497855/gallery/medium01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=UyaQIgJ9cexz0RkyELGZLA
LG QNED TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10610864/gallery/medium01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=UyaQIgJ9cexz0RkyELGZLA
LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10654889/gallery/medium-interior01.jpg,"3,790,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=g8KI7jEMZVuvRFYO8Cnhw
LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10654888/gallery/medium-interior01.jpg,"3,790,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=QO1ttVPKjRWGBsFuFJnw
LG QNED AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543873/gallery/medium-interior01.jpg,"3,990,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=gucmDPisdu6Pv9N0tRGsA
LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10654844/gallery/medium-interior01.jpg,"3,790,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 25,20W,"1,929 x 1,108 x 51.9",45.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=whe7bdYnvBSbTsfCF9Crtg
LG QNED evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543851/gallery/medium-interior01.jpg,"4,990,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=y1bzEe8Ny48uCVV4peMSHg
LG QNED evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10588832/gallery/medium-interior01.jpg,"5,090,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",mini LED,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,928 x 1,108 x 30.9",50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=p2KtUyccId0at0K0lS17Hw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10237826/gallery/medium-interior01.jpg,,비대상,0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 22,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZB45NTMokxr2ATBzeWhQw
LG 울트라 HD TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10402827/gallery/medium01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 23,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ApRRnxlpqZdhBYPSSZTw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09979829/gallery/medium-interior01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 23,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=lDriVyrun8YxxwQTlBtgw
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10219835/gallery/medium-interior01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 23,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ME34w6A4EDdIdCyHtG4r1g
LG 울트라 HD TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10219836/gallery/medium-interior01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 23,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ME34w6A4EDdIdCyHtG4r1g
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10366868/gallery/medium-interior01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 23,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=ME34w6A4EDdIdCyHtG4r1g
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10314851/gallery/medium-interior01.jpg,"3,890,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4Pu7mmY4BpwVICqjgvuoFA
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10530831/gallery/medium-interior01.jpg,,비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,217 cm,"4K UHD (3,840 x 2,160)",LED,60Hz,webOS 24,20W,"1,927 x 1,104 x 59.9",45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=mxgidTufNYA9hxnNWiBaQ
LG QNED TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10367826/gallery/medium-interior01.jpg,"7,800,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,247 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 24,40W,"2,182 x 1,258 x 110.4",61.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=Z300TVLfBcU1ircjUgqm9w
LG 울트라 HD TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10470830/gallery/medium-interior01.jpg,"5,090,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,247 cm,"4K UHD (3,840 x 2,160)",LED,120Hz,webOS 24,40W,"2,182 x 1,258 x 110.4",61.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=Z300TVLfBcU1ircjUgqm9w
갤러리 스탠드,https://www.lge.co.kr/kr/images/tvs/md09615828/gallery/medium-interior01.jpg,,,,,,,,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=UjCH9WqkE7sVp25OvdCOw
LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10319920/gallery/medium-interior01.jpg,"1,390,000원",4등급,0.5W↓,105 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,932 x 540 x 41.1,9.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=iY03lpPcfjwwiOi9v2s3gA
LG 올레드 evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10543850/gallery/medium-interior01.jpg,,3등급,0.5W↓,105 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,20W,932 x 540 x 41.1,9.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=ypxBifeM9QqkDc2To1L0Q
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770852/gallery/medium-interior01.jpg,"1,990,000원",3등급,0.5W↓,105 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,20W,932 x 540 x 41.1,9.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=0IPCbTJbxZ7KAwA1BLzlA
LG 올레드 TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10715835/gallery/medium01.jpg,,4등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,070 x 620 x 45.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=QsrVGTwSpCQJyxX1nSN8YA
LG 올레드 TV (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720845/gallery/medium01.jpg,,4등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,070 x 620 x 45.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573835/gallery/medium-interior01.jpg,"1,490,000원",4등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,070 x 620 x 45.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=QNsqqALrSSiafSb4Y5t0g
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10784835/gallery/medium-interior01.jpg,"1,990,000원",3등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 26,20W,"1,070 x 620 x 45.9",11.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=EK9NhYxPKjVtSRzwQeJnUg
LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09965829/gallery/medium-interior01.jpg,"1,890,000원",4등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 23,20W,"1,071 x 618 x 46.9",14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=Zm3T57jrMBhFrPcRn0V8g
LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10319913/gallery/medium-interior01.jpg,"1,990,000원",4등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,071 x 620 x 46.9",14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=4bPWnGp0VcVeHN2zjw7wVg
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543847/gallery/medium-interior01.jpg,,4등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,071 x 618 x 46.9",14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=fGB93Eqh4zQvDMnYzzEQ
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770850/gallery/medium-interior01.jpg,"2,389,000원",3등급,0.5W↓,120 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,071 x 620 x 46.9",14.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=MNFbhlHzd7a9aZxO5ed8BA
